first image index,second image index,overlapping rate,level of distance
36,175,0.628602,139
157,175,0.547669,18
162,175,0.899034,13
167,175,0.594833,8
41,177,0.519890,136
46,177,0.888256,131
22,178,0.611613,156
27,178,0.908305,151
35,178,0.759605,143
40,178,0.999599,138
44,178,0.610025,134
45,178,0.544805,133
49,178,0.870199,129
26,179,0.880499,153
157,179,0.917003,22
165,179,0.608796,14
170,179,0.919204,9
175,179,0.657085,4
31,180,0.631316,149
36,180,0.981746,144
41,180,0.571307,139
99,180,0.520850,81
162,180,0.523677,18
167,180,0.875697,13
172,180,0.637176,8
51,182,0.907133,131
27,183,0.655616,156
32,183,0.900161,151
40,183,0.654858,143
45,183,0.943751,138
49,183,0.505239,134
50,183,0.583642,133
54,183,0.936346,129
111,183,0.523057,72
31,184,0.857634,153
105,184,0.528835,79
162,184,0.843687,22
170,184,0.601317,14
175,184,0.909532,9
180,184,0.665406,4
36,185,0.617091,149
41,185,0.986179,144
46,185,0.654700,139
104,185,0.538070,81
109,185,0.509171,76
167,185,0.538029,18
172,185,0.887833,13
177,185,0.666648,8
56,187,0.888753,131
128,187,0.548908,59
32,188,0.558930,156
37,188,0.938404,151
45,188,0.759626,143
50,188,0.999666,138
54,188,0.532242,134
55,188,0.600119,133
59,188,0.918492,129
36,189,0.878493,153
167,189,0.930816,22
175,189,0.606872,14
180,189,0.918801,9
185,189,0.652114,4
41,190,0.677568,149
46,190,0.958661,144
51,190,0.614522,139
172,190,0.528649,18
177,190,0.896671,13
182,190,0.627983,8
61,192,0.781947,131
133,192,0.602391,59
37,193,0.598141,156
42,193,0.906306,151
50,193,0.722927,143
55,193,0.980029,138
59,193,0.527161,134
60,193,0.580635,133
64,193,0.859305,129
41,194,0.859350,153
172,194,0.890650,22
180,194,0.634856,14
185,194,0.906681,9
190,194,0.589878,4
46,195,0.643866,149
51,195,0.924536,144
56,195,0.560953,139
177,195,0.558343,18
182,195,0.878819,13
187,195,0.585746,8
66,197,0.799589,131
138,197,0.635505,59
42,198,0.697472,156
47,198,0.950415,151
55,198,0.732038,143
60,198,0.970463,138
64,198,0.514506,134
65,198,0.537500,133
69,198,0.803257,129
130,198,0.503339,68
137,198,0.583732,61
46,199,0.836215,153
177,199,0.883018,22
185,199,0.641978,14
190,199,0.924032,9
195,199,0.669915,4
51,200,0.613928,149
56,200,0.923869,144
61,200,0.530318,139
128,200,0.515037,72
182,200,0.550551,18
187,200,0.877309,13
192,200,0.679792,8
52,203,0.957844,151
60,203,0.695224,143
65,203,0.962056,138
70,203,0.581877,133
135,203,0.505524,68
51,204,0.844509,153
182,204,0.920005,22
190,204,0.615540,14
195,204,0.929899,9
200,204,0.696525,4
56,205,0.618687,149
61,205,0.908966,144
66,205,0.565096,139
133,205,0.546194,72
187,205,0.526885,18
192,205,0.897970,13
197,205,0.678964,8
52,208,0.554661,156
57,208,0.946140,151
65,208,0.734520,143
70,208,0.943024,138
140,208,0.538873,68
56,209,0.873281,153
187,209,0.924821,22
195,209,0.576736,14
200,209,0.923442,9
205,209,0.659658,4
61,210,0.620727,149
66,210,0.887553,144
138,210,0.570894,72
192,210,0.503642,18
197,210,0.894808,13
202,210,0.621828,8
75,211,0.885549,136
77,211,0.533211,134
80,211,0.514291,131
82,211,0.790967,129
78,214,0.641839,136
83,214,0.846339,131
150,214,0.578920,64
155,214,0.518078,59
73,215,0.944277,142
78,215,0.517215,137
75,216,0.633337,141
80,216,0.865869,136
85,216,0.526585,131
87,216,0.747648,129
215,217,0.643450,2
83,219,0.572729,136
88,219,0.896283,131
147,219,0.507237,72
73,220,0.674739,147
78,220,0.947370,142
83,220,0.544466,137
214,220,0.769958,6
74,221,0.760805,147
80,221,0.659586,141
85,221,0.924177,136
90,221,0.512705,131
92,221,0.750657,129
73,222,0.814796,149
141,222,0.583012,81
215,222,0.837742,7
220,222,0.595870,2
93,224,0.903565,131
78,225,0.684805,147
83,225,0.983319,142
88,225,0.633667,137
142,225,0.501420,83
214,225,0.937043,11
219,225,0.681397,6
79,226,0.826462,147
85,226,0.690122,141
90,226,0.950862,136
92,226,0.510163,134
95,226,0.549533,131
97,226,0.810033,129
78,227,0.881124,149
214,227,0.554043,13
220,227,0.873136,7
225,227,0.632214,2
98,229,0.847213,131
170,229,0.519168,59
83,230,0.727989,147
88,230,0.994056,142
93,230,0.629583,137
147,230,0.575122,83
214,230,0.550709,16
219,230,0.939524,11
224,230,0.708405,6
84,231,0.847578,147
90,231,0.671864,141
95,231,0.964752,136
97,231,0.510180,134
100,231,0.582606,131
102,231,0.833620,129
78,232,0.516520,154
83,232,0.897320,149
214,232,0.964149,18
220,232,0.543481,12
225,232,0.862224,7
230,232,0.562179,2
103,234,0.894496,131
88,235,0.676794,147
93,235,0.984416,142
98,235,0.562821,137
219,235,0.653436,16
224,235,0.940285,11
229,235,0.637721,6
89,236,0.877273,147
95,236,0.682614,141
100,236,0.970235,136
105,236,0.578468,131
107,236,0.925010,129
157,236,0.537185,79
83,237,0.567264,154
88,237,0.953166,149
156,237,0.520866,81
219,237,0.955919,18
225,237,0.553935,12
230,237,0.847360,7
235,237,0.563443,2
103,239,0.521230,136
108,239,0.914767,131
93,240,0.696867,147
98,240,0.936436,142
103,240,0.589914,137
224,240,0.651406,16
229,240,0.904023,11
234,240,0.670900,6
94,241,0.889547,147
100,241,0.706821,141
105,241,0.998137,136
110,241,0.651943,131
112,241,0.850535,129
93,242,0.920570,149
161,242,0.534986,81
224,242,0.940576,18
230,242,0.544573,12
235,242,0.876560,7
240,242,0.647314,2
113,244,0.862283,131
98,245,0.609340,147
103,245,0.932990,142
108,245,0.597078,137
229,245,0.625335,16
234,245,0.941165,11
239,245,0.737363,6
99,246,0.880765,147
105,246,0.682826,141
110,246,0.999051,136
115,246,0.625625,131
117,246,0.880333,129
98,247,0.861773,149
229,247,0.898445,18
234,247,0.503307,13
235,247,0.512361,12
240,247,0.884114,7
245,247,0.644359,2
118,249,0.869990,131
103,250,0.621674,147
108,250,0.951004,142
113,250,0.603328,137
234,250,0.598151,16
239,250,0.946727,11
244,250,0.717459,6
27,251,0.500684,224
104,251,0.907198,147
110,251,0.632829,141
115,251,0.944988,136
120,251,0.579458,131
122,251,0.928120,129
172,251,0.550724,79
185,251,0.550194,66
103,252,0.938267,149
171,252,0.524079,81
234,252,0.952062,18
239,252,0.504777,13
240,252,0.522860,12
245,252,0.838503,7
250,252,0.541213,2
123,254,0.856784,131
108,255,0.667451,147
113,255,0.999529,142
118,255,0.599126,137
181,255,0.539160,74
239,255,0.627629,16
244,255,0.928546,11
